name,mass_x,semi_major_axis_x,temp_eq_x,star_luminosity_x,star_radius_x,star_teff_x,star_mass_x,radius_x,mass_y,semi_major_axis_y,temp_eq_y,star_luminosity_y,star_radius_y,star_teff_y,star_mass_y,radius_y
GJ 3090 b,3.340376553310032,0.03165,695.2180853610845,0.038224071280474205,0.516,3556.0,0.519,2.1297063388783495,,,,,,,,
GJ 3470 b,13.889101368187289,0.03557,646.9375416028054,0.036795616180762186,0.48,3652.0,0.51,4.351998858594252,,,,,,,,
GJ 3473 Ab,1.8592961785788475,0.01589,772.463119105527,0.01492849910970128,0.364,3347.0,0.36,1.264036757027955,,,,,,,,
GJ 357 b,2.0868613177006345,0.033,540.2556940344158,0.015388717275744018,0.337,3505.0,0.342,1.166966983898026,,,,,,,,
GJ 436 b,18.54846580886522,0.02887,715.501072810074,0.035604507031252466,0.464,3684.0,0.452,3.645048443893949,,,,,,,,
GJ 486 b,2.819137966494765,0.01734,700.6934001419842,0.012020542948895135,0.328,3340.0,0.323,1.3050616265031907,,,,,,,,
GJ 777 Ad,11.505388318727228,0.3886,464.0886792497766,1.161275101670956,1.168,5549.0,0.98,2.0176165315689625,,,,,,,,
GJ 7 b,3.1687492137489075,0.0675,450.6465165340091,0.03085086466580357,0.44,3650.0,0.467,1.359649362662862,,,,,,,,
GJ 9827 b,4.869131189030417,0.01866,1211.9020966449475,0.1247242108166258,0.651,4255.0,0.659,1.5290170615073455,,,,,,,,
GJ 9827 d,3.4198336549587007,0.0555,702.711182966414,0.1247242108166258,0.651,4255.0,0.659,1.9549583292830155,,,,,,,,
Gliese 12 b,0.7087573467061249,0.066,317.70889488499427,0.007274972281810494,0.269,3253.0,0.241,0.9040042959502046,,,,,,,,
GPX-1 b,6261.219609915093,0.0338,2293.164906280329,5.2460434900603365,1.56,7000.0,1.68,16.47720167447986,,,,,,,,
HAT-P-10 Ab,146.2010670335504,0.0439,1031.5086872456918,0.3623080124978502,0.81,4980.0,0.82,11.713384863830921,,,,,,,,
HAT-P-11 b,23.392170725368064,0.053,834.9998133452129,0.21864700038690793,0.683,4780.0,0.809,4.3602935043351465,,,,,,,,
HAT-P-12 b,66.89966460414915,0.0384,957.3476124732213,0.2056830110430509,0.7,4650.0,0.73,10.637322713660808,,,,,,,,
HAT-P-13 b,286.0455659352073,0.045,1600.7568138820268,2.20769977144905,1.56,5638.0,1.22,16.1409322525517,,,,,,,,
HAT-P-14 Ab,776.7726257173852,0.0606,1568.1807259800955,3.6712873947608267,1.468,6600.0,1.386,11.321070538248067,,,,,,,,
HAT-P-15 b,618.4940792332371,0.0964,902.8214891205928,1.0065490591192883,1.08,5568.0,1.013,12.016027343566266,,,,,,,,
HAT-P-16 Ab,1332.6545088514713,0.0413,1625.373623326,1.9755529179612539,1.237,6158.0,1.218,14.448376162179958,,,,,,,,
HAT-P-17 b,181.4800201655593,0.0828,817.2055240364258,0.47638117451979595,0.837,5246.0,0.857,10.984801116319908,,,,,,,,
HAT-P-18 Ab,58.16259840682549,0.0559,842.2273730188438,0.25962390988943745,0.717,4870.0,0.77,10.61490475219893,,,,,,,,
HAT-P-19 b,92.80589472564503,0.0466,1009.9318144940162,0.37430050847988555,0.82,4990.0,0.842,12.688566187422586,,,,,,,,
HAT-P-1 Bb,166.85991346220428,0.05561,1325.6727367025906,1.5824553304997662,1.174,5980.0,1.151,14.78464558410812,,,,,,,,
HAT-P-20 Ab,2302.984634185014,0.0361,971.5321205937297,0.1927753647974485,0.694,4595.0,0.756,9.718186293723836,,,,,,,,
HAT-P-21 b,1291.3368159941635,0.0494,1282.9372098009749,1.068908856967766,1.105,5588.0,0.947,11.47799626848121,,,,,,,,
HAT-P-22 Ab,682.3775889587668,0.0414,1281.4551757237089,0.7673899407923231,1.04,5302.0,0.916,12.105699189413777,,,,,,,,
HAT-P-23 Ab,664.2613697828702,0.0232,2133.1069448277494,1.840052226476795,1.29,5924.0,1.13,15.333885639924116,,,,,,,,
HAT-P-24 Ab,217.71245851735225,0.0465,1636.3939660799128,2.568844132006631,1.317,6373.0,1.191,13.921554067825841,,,,,,,,
HAT-P-25 b,180.20870653918058,0.0466,1203.2834702030334,0.7555766046548483,0.959,5500.0,1.01,13.338687069817029,,,,,,,,
HAT-P-26 b,18.592961785788475,0.0479,995.2863788753572,0.37098454379643336,0.788,5079.0,0.816,6.389119016635047,,,,,,,,
HAT-P-27 Ab,209.76674835248537,0.0403,1207.3303064627416,0.5712769239038189,0.898,5300.0,0.945,11.825474671140308,,,,,,,,
HAT-P-28 b,198.96058252826643,0.0434,1381.2297022673704,1.1369330662231671,1.103,5680.0,1.025,13.58528464589768,,,,,,,,
HAT-P-29 b,247.270500330657,0.0667,1258.7994782266749,1.8465733882381128,1.224,6087.0,1.207,12.408341669149118,,,,,,,,
HAT-P-2 b,2777.820273637458,0.0674,1537.0349358216754,3.6036930639672353,1.54,6414.0,1.34,10.659740675122684,,,,,,,,
HAT-P-30 Ab,229.78993796794987,0.0412,1712.6044562814961,2.4233373788172274,1.33,6250.0,1.18,15.804662830623538,,,,,,,,
HAT-P-31 b,690.0054707170389,0.055,1465.5906125729798,2.2469404747930186,1.36,6065.0,1.218,11.993609382104388,,,,,,,,
HAT-P-32 Ab,238.3713049460061,0.03427,1841.3795007788945,2.2399481168952726,1.387,6001.0,1.176,20.0528665276493,,,,,,,,
HAT-P-33 Ab,242.50307423173686,0.0503,1839.6837026027247,4.759449183464627,1.777,6401.0,1.403,20.47880779542497,,,,,,,,
HAT-P-34 b,1156.8954000046162,0.0861,1323.337200475669,3.3883137678562822,1.45,6509.0,1.36,12.800655994731972,,,,,,,,
HAT-P-35 Ab,334.99114055078724,0.0498,1578.0598674338455,2.5531372695766907,1.435,6096.0,1.236,14.930362333610324,,,,,,,,
HAT-P-36 b,582.2616408814442,0.0238,1826.838637724331,1.0455587331782659,1.096,5580.0,1.022,14.168151643906493,,,,,,,,
HAT-P-37 b,371.5414073091748,0.0379,1276.3186275603807,0.6318885334823474,0.877,5500.0,0.929,13.204179301045764,,,,,,,,
HAT-P-38 b,84.86018456077818,0.0523,1080.3258177483306,0.6173092263200693,0.923,5330.0,0.886,9.247409103024411,,,,,,,,
HAT-P-3 Ab,187.83658829745278,0.03866,1145.193649132304,0.42687110816650575,0.799,5224.0,0.917,9.269827064486288,,,,,,,,
HAT-P-42 b,309.88269642980794,0.0575,1427.5780734151144,2.2803027102813953,1.528,5743.0,1.179,14.313868393408693,,,,,,,,
HAT-P-43 b,209.76674835248537,0.0443,1358.876279478131,1.1111801168782398,1.104,5645.0,1.048,14.381122277794326,,,,,,,,
HAT-P-44 Bb,124.58873538511253,0.0507,1122.7130824496533,0.6764251883004899,0.979,5295.0,0.939,14.347495335601511,,,,,,,,
HAT-P-45 Ab,283.5029386824499,0.0452,1649.3798612375165,2.507811912388958,1.319,6330.0,1.259,15.984006522318557,,,,,,,,
HAT-P-46 b,156.68940445117468,0.0577,1802.312772378223,5.789209702664391,1.395,7587.0,1.763,14.392331258525266,,,,,,,,
HAT-P-47 b,65.472651758503,0.0615,1604.2471475039508,4.159993701582818,1.515,6703.0,1.387,14.717391699722487,,,,,,,,
HAT-P-48 b,53.39517230790537,0.0543,1360.7286108599596,1.6785839389812378,1.223,5946.0,1.099,12.677357206691648,,,,,,,,
HAT-P-49 b,549.8431434087873,0.0412,2193.5639339811705,6.526088491652299,1.833,6820.0,1.543,16.23060409839921,,,,,,,,
HAT-P-4 b,216.12331648437888,0.0446,1695.8198926790049,2.731781487569535,1.59,5890.0,1.26,14.235405528292125,,,,,,,,
HAT-P-50 b,432.24663296875775,0.0453,1857.1005398697368,4.02628466148704,1.698,6280.0,1.273,14.437167181449022,,,,,,,,
HAT-P-51 Ab,98.20897763775451,0.05069,1193.0040174650965,0.8577470250850494,1.041,5449.0,0.976,14.493212085103714,,,,,,,,
HAT-P-52 b,260.30146500103865,0.03694,1216.8376776979255,0.4962511271896133,0.893,5131.0,0.887,11.309861557517127,,,,,,,,
HAT-P-53 b,472.61084060628144,0.03159,1780.7787150099364,1.651436533260579,1.209,5956.0,1.093,14.773436603377181,,,,,,,,
HAT-P-54 b,241.54958901195283,0.04117,820.0645869918741,0.12694597598106502,0.617,4390.0,0.645,10.581277810006114,,,,,,,,
HAT-P-55 b,184.97613263810072,0.04604,1315.6093955920996,1.044237467587133,1.011,5808.0,1.013,13.24901522396952,,,,,,,,
HAT-P-56 b,734.1836192336988,0.0423,1881.0982802381304,3.606024830717534,1.47,6566.0,1.42,16.925560903717408,,,,,,,,
HAT-P-57 Ab,587.9825522001483,0.0406,2198.250466304266,6.391725295160639,1.5,7500.0,1.47,15.838289772816356,,,,,,,,
HAT-P-58 b,118.23216725321902,0.04994,1584.0640441116925,2.600669040093826,1.53,5931.0,1.031,14.930362333610324,,,,,,,,
HAT-P-59 b,489.4557461557992,0.05064,1276.2244488416234,1.1291651164094576,1.1,5678.0,1.0,12.587685360844139,,,,,,,,
HAT-P-5 b,336.8981109903553,0.04079,1517.3401063458346,1.4645240170650213,1.137,5960.0,1.163,14.033643875135228,,,,,,,,
HAT-P-60 b,182.43350538534332,0.06277,1786.51760174499,6.453219417348848,2.197,6212.0,1.435,18.281847572160988,,,,,,,,
HAT-P-62 b,241.86741741854752,0.03772,1513.6213188731035,1.2339206944385739,1.17,5629.0,1.023,12.027236324297204,,,,,,,,
HAT-P-63 b,195.14664164913032,0.04294,1235.8511196626162,0.7125407939348264,0.9661,5400.0,0.925,12.542849437920383,,,,,,,,
HAT-P-65 b,167.49557027539362,0.03951,1953.4258991336862,3.6006413097997845,1.86,5835.0,1.212,21.184973581474104,,,,,,,,
HAT-P-66 b,248.85964236363037,0.04363,1900.3389950774538,4.122418565196399,1.881,6002.0,1.255,17.822279362192504,,,,,,,,
HAT-P-67 Ab,143.02278296760366,0.06505,1988.938100945992,10.674674683390888,2.648,6417.0,1.292,23.987218764208777,,,,,,,,
HAT-P-68 b,230.10776637454455,0.02996,1028.1939283253134,0.16644692058371804,0.67,4508.0,0.6785,12.016027343566266,,,,,,,,
HAT-P-69 b,1137.8256956089358,0.06555,1980.8157466991513,10.984468553275567,1.854,7724.0,1.698,18.78625170505323,,,,,,,,
HAT-P-6 b,352.78953132008905,0.0494,1722.3111803636318,3.5658060676115184,1.46,6570.0,1.29,14.291450431946817,,,,,,,,
HAT-P-70 b,2154.876596711895,0.04739,2551.3468690840737,15.801880928626714,1.858,8450.0,1.89,20.960793966855334,,,,,,,,
HAT-P-7 Ab,568.9128478044679,0.039,2251.728950141284,6.493083661299557,1.993,6532.23,1.347,16.925560903717408,,,,,,,,
HAT-P-8 Ab,429.068348902811,0.0473,1697.946367002467,3.0879872059208138,1.431,6401.79,1.285,15.916752637932925,,,,,,,,
HAT-P-9 b,212.94503241843213,0.053,1528.1150532470772,2.5435090862573313,1.32,6350.0,1.28,15.692573023314152,,,,,,,,
HATS-10 b,167.17774186879893,0.0449,1458.0953819820022,1.3104618736588118,1.105,5880.0,1.1,10.861502328279581,,,,,,,,
HATS-11 b,270.15414560547356,0.0507,1543.7749625044705,2.2799934354802023,1.462,5871.0,1.06,18.03524999608034,,,,,,,,
HATS-12 b,756.431607695326,0.0441,1580.3482190842617,2.007109650273585,1.17,6357.0,1.16,7.7566146658095665,,,,,,,,
HATS-13 b,172.58082478090842,0.04057,1250.4192894305243,0.657261119782606,0.887,5523.0,0.962,13.58528464589768,,,,,,,,
HATS-14 b,340.39422346289666,0.03815,1278.0905654467049,0.638365833904195,0.933,5346.0,0.967,11.646130979445289,,,,,,,,
HATS-15 b,689.6876423104443,0.02712,1493.2420703719524,0.6072360934136176,0.922,5311.0,0.871,12.385923707687242,,,,,,,,
HATS-16 b,1039.2988895645865,0.03744,1591.0588516052037,1.491674257041176,1.238,5738.0,0.97,14.571674950220284,,,,,,,,
HATS-17 b,425.2544080236749,0.1308,814.2284753970915,1.2481744118424498,1.091,5846.0,1.131,8.709378027939355,,,,,,,,
HATS-18 b,629.3002450574561,0.01761,2062.332365998068,0.9186349859612402,1.02,5600.0,1.037,14.986407237265016,,,,,,,,
HATS-19 b,135.71272961592612,0.0589,1563.6068896720776,3.284875589117079,1.74,5896.0,1.303,18.606908013358208,,,,,,,,
HATS-1 Ab,589.5716942331218,0.0444,1371.0901281118656,1.1485175658720415,1.038,5870.0,0.986,14.594092911682162,,,,,,,,
HATS-20 b,86.76715500034622,0.04619,1187.5041261794765,0.610132843934004,0.892,5406.0,0.91,8.698169047208417,,,,,,,,
HATS-21 b,105.51903098943204,0.04676,1283.224509569686,0.9845027365870295,1.021,5695.0,1.08,12.587685360844139,,,,,,,,
HATS-22 b,870.849834069409,0.05025,858.2767104766639,0.22681894193076965,0.689,4803.0,0.759,10.682158636584562,,,,,,,,
HATS-23 b,467.2077576941719,0.03397,1658.5672679422557,1.4405895155793411,1.199,5780.0,1.121,20.848704159545946,,,,,,,,
HATS-24 b,775.5013120910064,0.02547,2091.237168744413,2.000073815756553,1.172,6346.0,1.212,16.66775434690582,,,,,,,,
HATS-25 b,194.82881324253563,0.05163,1277.30412219425,1.1736827198825288,1.107,5715.0,0.994,14.123315720982738,,,,,,,,
HATS-26 b,206.58846428653862,0.04735,1925.1416994812764,5.075651510334649,2.04,6071.0,1.299,19.615716279142692,,,,,,,,
HATS-27 b,168.44905549517765,0.0611,1674.9709600319502,4.669742312222827,1.74,6438.0,1.415,16.813471096408023,,,,,,,,
HATS-28 b,213.58068923162148,0.04131,1254.1010169927347,0.697382931807779,0.922,5498.0,0.929,13.383522992740785,,,,,,,,
HATS-29 b,207.54194950632265,0.05475,1211.3343188452075,1.0683712912016066,1.073,5670.0,1.032,14.022434894404288,,,,,,,,
HATS-2 b,427.4792068698376,0.023,1574.9256212131547,0.5404471158890692,0.898,5227.0,0.882,13.092089493736378,,,,,,,,
HATS-30 Ab,224.38685505584039,0.04354,1415.069364431553,1.2607942475926914,1.061,5943.0,1.093,13.17055235885295,,,,,,,,
HATS-31 b,279.68899780331384,0.0478,1837.4931230059328,4.20625154914776,1.87,6050.0,1.275,18.382728398739435,,,,,,,,
HATS-32 b,292.4021340671008,0.04024,1480.8086347356686,1.1405207937962587,1.097,5700.0,1.099,14.000016932942414,,,,,,,,
HATS-33 b,378.85146066085235,0.03727,1430.1029266938372,0.961725424098609,1.022,5659.0,1.062,13.787046299054577,,,,,,,,
HATS-34 b,299.07653060558897,0.03166,1443.3549835705912,0.7223900972227152,0.98,5380.0,0.955,16.02884244524231,,,,,,,,
HATS-35 b,388.3863128586926,0.03199,2033.245512387794,2.9043242994315137,1.433,6300.0,1.317,16.40994779009423,,,,,,,,
HATS-36 b,886.7412543991427,0.0523,1330.7711878904036,1.3615818796826937,1.1,5950.0,1.1,12.923954782772299,,,,,,,,
HATS-37 Ab,31.465012252872807,0.04913,1102.4031017341263,0.5556411032818177,0.877,5326.0,0.843,6.79264232294884,,,,,,,,
HATS-38 b,23.519302088005933,0.05036,1297.154887154837,1.1834224745724602,1.105,5732.0,0.89,6.882314168796349,,,,,,,,
HATS-39 b,200.2318961546451,0.06,1663.4728265562742,4.400953486876442,1.621,6572.0,1.379,17.59809974757373,,,,,,,,
HATS-40 b,505.34716648553297,0.04997,2121.9007998634374,7.986150313178959,2.26,6460.0,1.56,17.710189554883115,,,,,,,,
HATS-41 b,3082.9355439683454,0.0583,1710.6799328861805,4.471002160202719,1.71,6424.0,1.496,14.907944372148446,,,,,,,,
HATS-42 b,597.5174043979886,0.03689,1863.40248129538,2.6521889255473625,1.48,6060.0,1.273,15.692573023314152,,,,,,,,
HATS-43 b,82.95321412121012,0.04944,1000.2456081403706,0.40016825750983526,0.812,5099.0,0.837,13.226597262507642,,,,,,,,
HATS-44 b,177.9839076930179,0.03649,1192.2053254437687,0.42895545948216085,0.847,5080.0,0.86,11.959982439911572,,,,,,,,
HATS-45 b,222.47988461627233,0.05511,1530.5984658062473,2.6870818409795936,1.315,6450.0,1.272,14.414749219987144,,,,,,,,
HATS-46 b,54.98431434087873,0.05367,1107.0038325309795,0.5956064321676114,0.853,5495.0,0.917,10.12170960003763,,,,,,,,
HATS-47 Ab,117.27868203343499,0.04269,853.9759318780035,0.1603260299313206,0.6564,4512.0,0.674,12.520431476458507,,,,,,,,
HATS-48 Ab,77.23230280250597,0.03769,958.091848206756,0.19613868847449556,0.7152,4546.0,0.7279,8.967184584750944,,,,,,,,
HATS-49 b,112.19342752792019,0.04515,835.5242257425288,0.16455520609467797,0.6977,4405.0,0.7133,8.57487025916809,,,,,,,,
HATS-4 b,420.48698192475473,0.0362,1317.0250085463042,0.6546570745921085,0.925,5403.0,1.001,11.433160345557454,,,,,,,,
HATS-50 b,123.95307857192317,0.05046,1412.602639180115,1.4421291839304546,1.117,5990.0,1.168,12.666148225960708,,,,,,,,
HATS-51 b,244.09221626471023,0.04639,1569.3984259647482,2.046454796975254,1.44,5758.0,1.187,15.804662830623538,,,,,,,,
HATS-52 b,711.9356307720716,0.02498,1890.0192240135252,1.281597899389418,1.046,6010.0,1.111,15.490811370157255,,,,,,,,
HATS-53 b,189.1079019238315,0.04753,1328.2870326388875,1.102361204026573,1.1,5644.0,0.964,15.020034179457832,,,,,,,,
HATS-54 b,239.32479016579012,0.037,1565.911987999309,1.3559856510651982,1.23,5621.0,1.05,11.37711544190276,,,,,,,,
HATS-55 Ab,292.7199624736955,0.05412,1368.2211112501009,1.697275360367066,1.126,6214.0,1.1955,14.022434894404288,,,,,,,,
HATS-56 b,191.3327007699942,0.06043,1902.1671033212772,7.937409544004471,2.201,6536.0,1.573,18.920759473824493,,,,,,,,
HATS-57 Ab,1000.2059955534415,0.03493,1412.507851141495,0.8062090730017437,0.96,5587.0,1.026,12.666148225960708,,,,,,,,
HATS-59 b,256.1696957153079,0.06112,1128.0167524846925,0.9959608707515573,1.036,5670.0,1.038,12.621312303036953,,,,,,,,
HATS-5 b,75.32533236293793,0.0542,1025.3351562518617,0.5390647098377845,0.871,5304.0,0.936,10.222590426616078,,,,,,,,
HATS-60 b,210.4024051656747,0.04708,1535.045417970453,2.0060664142573152,1.46,5690.0,1.1,12.923954782772299,,,,,,,,
HATS-61 b,1080.6165824218942,0.07908,1228.0536965611266,2.3518755115707,1.667,5541.0,1.075,13.394731973471725,,,,,,,,
HATS-62 Ab,56.89128478044678,0.04163,1248.472600952331,0.6674091025988433,0.923,5435.0,0.911,11.825474671140308,,,,,,,,
HATS-63 b,305.11527033088777,0.04026,1401.8499161259374,1.029809743387443,1.07,5626.0,0.931,13.529239742242988,,,,,,,,
HATS-64 b,305.11527033088777,0.06562,1800.2005745189467,7.423434508816378,2.113,6560.0,1.562,18.819878647246046,,,,,,,,
HATS-65 Ab,260.93712181422796,0.04497,1625.422885974743,2.3395496840741834,1.296,6276.0,1.269,16.824680077138957,,,,,,,,
HATS-66 b,1694.0254071496167,0.04714,1997.1151346312693,5.858111651351728,1.851,6606.0,1.406,15.815871811354478,,,,,,,,
HATS-67 b,460.8511895622784,0.03032,2195.83363081174,3.5432908426105265,1.44,6605.0,1.44,18.88713253163168,,,,,,,,
HATS-68 b,409.9986445071305,0.05071,1743.8701167712707,3.9465671506056,1.769,6122.0,1.337,13.810585158589548,,,,,,,,
HATS-69 b,183.38699060512735,0.03211,1347.5060923623353,0.4825166727074725,0.8785,5137.0,0.892,10.592486790737052,,,,,,,,
HATS-70 b,4099.986445071305,0.03632,2762.4886820543866,12.548706958496647,1.88,7930.0,1.78,15.513229331619133,,,,,,,,
HATS-72 b,39.855682186972224,0.066517,739.4120337850044,0.2195998314728214,0.7214,4656.1,0.7311,8.097367680030104,,,,,,,,
HATS-74 Ab,464.02947362822516,0.02384,895.2754797255503,0.060572541482521926,0.5758,3776.9,0.6,11.567668114328718,,,,,,,,
HATS-75 b,156.0537476379853,0.032742,772.8447062851706,0.06337900710425523,0.5848,3790.4,0.6017,9.908738966149794,,,,,,,,
HATS-76 b,835.5708809374,0.02658,940.2552366821787,0.09151957882114908,0.626,4016.0,0.662,12.094490208682837,,,,,,,,
HATS-77 b,436.6962306610832,0.03607,829.0426202201144,0.10195696172618243,0.643,4071.0,0.655,13.058462551543563,,,,,,,,
HATS-7 b,38.13940879136097,0.04012,1083.419885842488,0.3682700475658491,0.815,4985.0,0.849,6.310656151518477,,,,,,,,
HATS-8 b,43.860320110065125,0.04667,1346.9991811232303,1.1013811899689128,1.086,5679.0,1.056,9.785440178109468,,,,,,,,
HATS-9 b,266.65803313293213,0.0312,1913.1091787171026,2.1472449821600494,1.56,5599.0,1.1,13.854300183440209,,,,,,,,
HD 106315 b,10.488337417624269,0.0907,1156.3005541614314,2.431468078348727,1.3,6327.0,1.09,2.3987218764208778,,,,,,,,
HD 106315 c,12.077479450597641,0.1536,893.1006314333902,2.431468078348727,1.3,6327.0,1.09,4.380469669650836,,,,,,,,
HD 114082 b,2542.6272527573983,0.5109,559.4409216885269,3.900415359604692,1.49,6651.0,1.47,11.20898073093868,,,,,,,,
HD 118203 b,689.6876423104443,0.07082,1521.1778205265603,4.239838506859478,1.993,5872.0,1.353,12.778238033270094,,,,,,,,
HD 1397 b,131.89878873679004,0.1097,1238.0041926230429,4.543898474471736,2.328,5528.0,1.322,11.500414229943086,,,,,,,,
HD 149026 b,88.99195384650895,0.041,1791.1198955370344,2.872678228749326,1.497,6147.0,1.3,8.294645740894623,,,,,,,,
HD 152843 b,9.82089776377545,0.1049,1123.7195181668096,2.9105833574187403,1.43,6310.0,1.15,3.049963656888415,,,,,,,,
